# Lowrie & Edwards (2008) NLTE analytic IC for Mach 2 radiative shock
# Columns: x(cm)  rho(g/cc)  T_mat(K)  T_rad(K)  vx(cm/s)
# Shock at x = 0; simulation coordinates (downstream left, upstream right)
# 4000 points
-2.9362340585e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9334583646e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9306826707e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9279069767e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9251312828e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9223555889e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9195798950e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9168042011e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9140285071e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9112528132e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9084771193e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9057014254e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9029257314e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9001500375e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8973743436e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8945986497e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8918229557e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8890472618e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8862715679e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8834958740e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8807201800e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8779444861e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8751687922e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8723930983e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8696174044e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8668417104e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8640660165e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8612903226e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8585146287e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8557389347e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8529632408e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8501875469e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8474118530e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8446361590e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8418604651e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8390847712e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8363090773e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8335333833e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8307576894e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8279819955e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8252063016e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8224306077e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8196549137e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8168792198e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8141035259e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8113278320e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8085521380e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8057764441e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8030007502e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8002250563e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7974493623e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7946736684e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7918979745e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7891222806e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7863465866e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7835708927e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7807951988e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7780195049e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7752438110e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7724681170e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7696924231e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7669167292e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7641410353e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7613653413e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7585896474e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7558139535e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7530382596e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7502625656e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7474868717e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7447111778e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7419354839e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7391597899e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7363840960e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7336084021e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7308327082e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7280570143e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7252813203e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7225056264e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7197299325e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7169542386e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7141785446e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7114028507e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7086271568e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7058514629e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7030757689e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.7003000750e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6975243811e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6947486872e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6919729932e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6891972993e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6864216054e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6836459115e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6808702176e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6780945236e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6753188297e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6725431358e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6697674419e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6669917479e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6642160540e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6614403601e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6586646662e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6558889722e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6531132783e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6503375844e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6475618905e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6447861965e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6420105026e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6392348087e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6364591148e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6336834209e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6309077269e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6281320330e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6253563391e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6225806452e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6198049512e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6170292573e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6142535634e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6114778695e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6087021755e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6059264816e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6031507877e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.6003750938e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5975993998e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5948237059e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
