# Mach45 analytic profile (Lowrie & Edwards 2008)
# Np=2000  xmin=1950.0  xmax=2450.0  shock_x=2300.0
# x(cm), rho(g/cc), T_gas(K), Erad(erg/cc), v_x(cm/s)
1970.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1970.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1970.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1971.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1971.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1971.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1971.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1972.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1972.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1972.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1972.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1973.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1973.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1973.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1973.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1974.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1974.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1974.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1974.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1975.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1975.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1975.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1975.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1976.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1976.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1976.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1976.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1977.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1977.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1977.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1977.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1978.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1978.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1978.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1978.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1979.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1979.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1979.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1979.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1980.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1980.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1980.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1980.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1981.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1981.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1981.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1981.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1982.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1982.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1982.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1982.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1983.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1983.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1983.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1983.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1984.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1984.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1984.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1984.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1985.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1985.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1985.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1985.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1986.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1986.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1986.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1986.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1987.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1987.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1987.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1987.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1988.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1988.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1988.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1988.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
