# Digitized from Steinberg & Heizler 2022 Fig. 9(b) SN reference (black)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-662.38966,2.7330915,2.850472,1.0176584,-9826052.1
-661.40487,2.7571156,2.8749286,1.0180188,-10059809
-660.42007,2.7811327,2.8993968,1.018357,-10296598
-659.43528,2.8051324,2.9238169,1.0188436,-10527620
-658.45049,2.8291024,2.9483851,1.0193517,-10771820
-657.46569,2.8532413,2.9729367,1.0197176,-11027885
-656.4809,2.8774812,2.9976664,1.0202073,-11281138
-655.4961,2.9014832,3.0221751,1.0207139,-11531906
-654.51131,2.9255524,3.0468751,1.0210744,-11781298
-653.52652,2.9499655,3.071637,1.0215975,-12060305
-652.54172,2.9743655,3.0964605,1.0221171,-12345111
-651.55693,2.9987493,3.1213594,1.0226322,-12637030
-650.57214,3.0231093,3.146228,1.0231409,-12925262
-649.58734,3.0474618,3.1711218,1.0236821,-13215809
-648.60255,3.0718034,3.1961349,1.0243536,-13517980
-647.61776,3.0963659,3.2211788,1.024928,-13827575
-646.63296,3.121102,3.2462469,1.025426,-14143002
-645.64817,3.1457426,3.2715104,1.0260662,-14470040
-644.66337,3.1704157,3.2967771,1.0267364,-14805133
-643.67858,3.1952501,3.3221316,1.0272961,-15149045
-642.69379,3.2201928,3.3475485,1.0278959,-15495404
-641.70899,3.245053,3.3727633,1.0286049,-15849928
-640.7242,3.2702049,3.3983908,1.0293134,-16216328
-639.73941,3.2953648,3.4240978,1.0300188,-16600334
-638.75461,3.320531,3.4496858,1.0307218,-16979936
-637.76982,3.3458178,3.4754774,1.0314234,-17367205
-636.78503,3.371186,3.5014062,1.0321242,-17759640
-635.80023,3.3966186,3.5273951,1.0329062,-18166378
-634.81544,3.4220898,3.55342,1.0337368,-18581669
-633.83064,3.4477227,3.5795179,1.0345642,-19012686
-632.84585,3.4734509,3.6056588,1.0353897,-19452954
-631.86106,3.4992518,3.6319559,1.0362121,-19908546
-630.87626,3.525097,3.6583481,1.0370325,-20373487
-629.89147,3.5510461,3.6848412,1.0379299,-20844042
-628.90668,3.5770644,3.7114015,1.0388785,-21318332
-627.92188,3.6032704,3.7381119,1.0398277,-21812908
-626.93709,3.6296233,3.7649396,1.0407774,-22323347
-625.9523,3.6560104,3.7918006,1.0417527,-22838346
-624.9675,3.6825097,3.818771,1.0428127,-23368332
-623.98271,3.7090089,3.8457414,1.0438727,-23898317
-622.99792,3.7358636,3.8729618,1.0449302,-24458332
-622.01312,3.7627635,3.9002142,1.0459874,-25022174
-621.02833,3.7897137,3.9275783,1.0471041,-25603189
-620.04353,3.8167077,3.9550396,1.0482727,-26199159
