# Digitized from Steinberg & Heizler 2022 Fig. 9(b) DIMC (green)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-646.66681,3.1541681,3.2396575,1.0246282,-14180268
-645.66322,3.1801652,3.2646083,1.0290358,-14646179
-644.65963,3.2074483,3.3356411,1.0340404,-15098206
-643.65604,3.2324696,3.3658371,1.0351498,-15562798
-642.65246,3.2569973,3.3838325,1.0350315,-16019138
-641.64887,3.2836346,3.3938417,1.0332556,-16309727
-640.64528,3.3105813,3.4162282,1.0317675,-16651340
-639.6417,3.3380904,3.4611114,1.0308023,-17085694
-638.63811,3.3628319,3.492464,1.0300421,-17356040
-637.63452,3.3859974,3.5161122,1.0293986,-17532999
-636.63093,3.4156206,3.5494851,1.0317217,-18155834
-635.62735,3.444837,3.5815636,1.0340364,-18817731
-634.62376,3.4703442,3.6054564,1.0353279,-19479628
-633.62017,3.4966194,3.7483279,1.0373449,-19853379
-632.61659,3.5236749,4.012078,1.0400991,-19934384
-631.613,3.5506246,3.881286,1.0423529,-20170591
-630.60941,3.5773798,3.6753981,1.0437341,-20480899
-629.60582,3.6025802,3.7454714,1.0382062,-21098716
-628.60224,3.6272919,3.7905943,1.0339791,-21650069
-627.59865,3.6512618,3.7978335,1.0317269,-22100510
-626.59506,3.674631,3.8194573,1.0317725,-22760408
-625.59147,3.6977167,3.8478704,1.0329025,-23519168
-624.58789,3.7257411,3.8798296,1.0368583,-23261535
-623.5843,3.7541697,3.9074224,1.0409123,-23374270
-622.58071,3.7832721,3.92238,1.0449768,-24626160
-621.57713,3.807151,3.9427382,1.0477687,-25026769
-620.57354,3.826964,3.9672998,1.0495699,-24764777
-619.56995,3.8603512,3.9945259,1.0519517,-25378803
-618.56636,3.8948685,4.0238665,1.0555071,-26291963
-617.56278,3.9259859,4.0604459,1.0636174,-27930590
-616.55919,3.952071,4.0695775,1.0658222,-29208792
-615.5556,3.9735781,4.0537389,1.0626545,-30159105
-614.55201,4.0016364,4.123131,1.0645328,-30861829
-613.54843,4.0333304,4.1935872,1.0672264,-31604511
-612.54484,4.0753443,4.216428,1.0700607,-32654857
-611.54125,4.112904,4.231906,1.0684408,-33877915
-610.53767,4.1467485,4.2412424,1.0631057,-35245032
-609.53408,4.1683082,4.2906893,1.0673912,-36182923
-608.53049,4.190798,4.3358888,1.0710094,-36762854
-607.5269,4.2215867,4.3499445,1.0683321,-36327796
-606.52332,4.2485922,4.3813462,1.0666276,-36529218
-605.51973,4.2728454,4.4253674,1.0656309,-37193689
-604.51614,4.2993795,4.4336543,1.0634177,-38116661
-603.51256,4.3270308,4.4524589,1.0634417,-39060199
-602.50897,4.3573742,4.512312,1.070444,-39993841
-601.50538,4.3945383,4.5368862,1.0734836,-40961497
-600.50179,4.4363561,4.53739,1.0738195,-41952361
-599.49821,4.4421138,4.5497124,1.0610671,-42948769
-598.49462,4.453008,4.5808824,1.0522043,-43473194
-597.49103,4.4816017,4.6576252,1.0548336,-42815868
-596.48744,4.5261953,4.6813237,1.070481,-43630716
-595.48386,4.5812807,4.6702394,1.0946648,-45410913
-594.48027,4.6200207,4.712896,1.11298,-47032870
-593.47668,4.6536971,4.7481917,1.1251158,-48635445
-592.4731,4.6798711,4.7668122,1.1270481,-50216426
-591.46951,4.7014559,4.8278309,1.1153986,-51635539
-590.46592,4.7229895,4.8877028,1.1011858,-52907164
-589.46233,4.748822,4.9017311,1.090579,-53779653
-588.45875,4.7780392,4.9318232,1.0903207,-54538868
-587.45516,4.8095706,4.9728993,1.0971383,-55220629
-586.45157,4.8551958,4.997841,1.1155675,-56556811
-585.44799,4.9012192,5.0288557,1.1313557,-58022684
-584.4444,4.9472447,5.0704557,1.142331,-59668980
-583.44081,4.9825457,5.1183329,1.146359,-61478037
-582.43722,5.0150862,5.1535193,1.1481208,-63464416
-581.43364,5.0465508,5.1520809,1.147941,-65819767
-580.43005,5.0685862,5.1641264,1.1422135,-67818051
-579.42646,5.0894947,5.1869416,1.1360458,-69566377
-578.42287,5.1195883,5.2352683,1.1362229,-70787823
-577.41929,5.1524447,5.2656726,1.1353918,-72494083
-576.4157,5.1865574,5.287979,1.134722,-74448154
-575.41211,5.2162345,5.3396918,1.143252,-75958665
-574.40853,5.2505562,5.3770319,1.153945,-77239448
-573.40494,5.2891559,5.401134,1.1666304,-78308641
-572.40135,5.3398642,5.4717067,1.1672285,-80016096
-571.39776,5.390294,5.5204506,1.1710996,-81933978
-570.39418,5.4403605,5.5450254,1.1786187,-84079686
-569.39059,5.4716885,5.5686242,1.1811659,-87216155
-568.387,5.4998068,5.6017814,1.1813083,-89686412
-567.38341,5.5249495,5.6457811,1.1789049,-91368754
-566.37983,5.5560379,5.6710428,1.1880327,-94276277
-565.37624,5.5936585,5.7163881,1.1986173,-96598700
-564.37265,5.6383962,5.7836293,1.2103652,-98260773
-563.36907,5.7050848,5.8075008,1.2124492,-1.0083738e+08
-562.36548,5.7580117,5.8449288,1.2104765,-1.0370945e+08
-561.36189,5.7980361,5.8912591,1.2071056,-1.0677572e+08
-560.3583,5.8202945,5.914659,1.2240372,-1.0934399e+08
-559.35472,5.8390693,5.9370252,1.232927,-1.1187175e+08
-558.35113,5.8570946,5.9649297,1.2354394,-1.1430705e+08
-557.34754,5.8802114,6.0175205,1.2310086,-1.1646463e+08
-556.34396,5.9307678,6.0412891,1.2386929,-1.1750498e+08
-555.34037,6.0018821,6.0653394,1.2515391,-1.192847e+08
-554.33678,6.0969099,6.1074651,1.2672138,-1.2320337e+08
-553.33319,6.1486494,6.1522895,1.2990438,-1.2706562e+08
-552.32961,6.1816864,6.1801948,1.3266531,-1.315371e+08
-551.32602,6.2012032,6.2071291,1.3414464,-1.3595958e+08
-550.32243,6.2157914,6.2773606,1.327275,-1.3854377e+08
-549.31884,6.2468798,6.3224667,1.3369165,-1.408467e+08
-548.31526,6.2918699,6.3544476,1.3623455,-1.4314859e+08
-547.31167,6.349334,6.3911753,1.3926069,-1.4580389e+08
-546.30808,6.4155158,6.4595075,1.4099733,-1.4932281e+08
-545.3045,6.4487393,6.4745688,1.4192758,-1.5315459e+08
-544.30091,6.4754363,6.5697984,1.4147242,-1.5749475e+08
-543.29732,6.5206879,6.6070314,1.4027903,-1.6065778e+08
-542.29373,6.596426,6.5854175,1.3982365,-1.6314523e+08
-541.29015,6.7043564,6.6242461,1.424561,-1.6742296e+08
-540.28656,6.7380842,6.6871124,1.4336527,-1.7524315e+08
-539.28297,6.7712603,6.7170125,1.4483004,-1.7949756e+08
-538.27938,6.7923959,6.741613,1.4660182,-1.8421575e+08
-537.2758,6.8098632,6.7859061,1.4702353,-1.889392e+08
-536.27221,6.8437592,6.8649354,1.4489714,-1.9125568e+08
-535.26862,6.8943977,6.9744243,1.4622013,-1.9750566e+08
-534.26504,6.9786023,6.912677,1.4973877,-1.9971655e+08
-533.26145,7.0432248,6.9271159,1.5379249,-2.0492452e+08
-532.25786,7.0346813,7.0121429,1.5537375,-2.1081813e+08
-531.25427,7.0082341,7.058639,1.5457165,-2.1446589e+08
-530.25069,7.0482427,7.0394697,1.5431509,-2.1540439e+08
-529.2471,7.1513642,7.0818091,1.5683179,-2.1610962e+08
-528.24351,7.2766899,7.1296337,1.5949838,-2.2219399e+08
-527.23993,7.333491,7.1512844,1.6530586,-2.3049765e+08
-526.23634,7.3843329,7.2180816,1.7397603,-2.3467818e+08
-525.23275,7.3815819,7.2407087,1.7517562,-2.4145029e+08
-524.22916,7.4173254,7.2799524,1.7913572,-2.4824273e+08
-523.22558,7.4796971,7.4023815,1.8019244,-2.5553316e+08
-522.22199,7.5723768,7.476644,1.8528931,-2.5681379e+08
-521.2184,7.5569484,7.4332213,1.9055061,-2.6658775e+08
-520.21481,7.6538703,7.4701049,1.9196436,-2.6994426e+08
-519.21123,7.7252027,7.5085345,1.9570298,-2.7895492e+08
-518.20764,7.7400469,7.5401988,2.0356635,-2.8457658e+08
-517.20405,7.7933994,7.5985192,2.0946387,-2.8999814e+08
-516.20047,7.8502599,7.6923982,2.1224584,-2.9802554e+08
-515.19688,7.8332183,7.6626392,2.1636625,-3.0246811e+08
-514.19329,7.8967798,7.7162708,2.1163681,-3.0712638e+08
-513.1897,7.9222415,7.8066336,2.1624604,-3.1396691e+08
-512.18612,8.0103942,7.8080653,2.2270073,-3.1930104e+08
-511.18253,8.0581293,7.8076275,2.26764,-3.2875994e+08
-510.17894,8.0302834,7.8749384,2.3263418,-3.3839094e+08
-509.17535,8.0843314,7.8873342,2.4109833,-3.442136e+08
-508.17177,8.1709409,7.9454152,2.5977345,-3.5070772e+08
-507.16818,8.2723261,7.9670997,2.7261476,-3.6261991e+08
-506.16459,8.1682327,8.0234866,2.7715046,-3.6263172e+08
-505.16101,8.3515789,8.0243065,3.0071424,-3.7459557e+08
-504.15742,8.2062278,8.1156569,3.0346156,-3.8403657e+08
-503.15383,8.3238474,8.0703534,3.0537238,-3.8389708e+08
-502.15024,8.482236,8.1729121,3.3544329,-3.9814238e+08
-501.14666,8.3897083,8.18238,3.4534977,-4.0841548e+08
-500.14307,8.3168378,8.2083763,3.5822139,-4.126862e+08
-499.13948,8.4397967,8.1963622,3.7667724,-4.1945074e+08
-498.1359,8.4272094,8.2582264,3.928075,-4.2936768e+08
-497.13231,8.459911,8.2844845,4.3216558,-4.3668992e+08
-496.12872,8.4205225,8.279941,4.6454596,-4.4243736e+08
-495.12513,8.5691793,8.3152097,4.8609574,-4.5040915e+08
-494.12155,8.5017274,8.331254,5.1393683,-4.5897152e+08
-493.11796,8.5016483,8.3614721,5.4455381,-4.6781989e+08
-492.11437,8.4707557,8.3407848,5.867824,-4.751598e+08
-491.11078,8.3775625,8.3816088,5.9540503,-4.788088e+08
-490.1072,8.3856635,8.3494415,6.1170431,-4.8073503e+08
-489.10361,8.4359326,8.3887921,6.2589622,-4.8196562e+08
-488.10002,8.3471308,8.394461,6.3355469,-4.788941e+08
-487.09644,8.3783262,8.3945658,6.3479074,-4.867142e+08
-486.09285,8.4437126,8.3726473,6.4391538,-4.8238153e+08
-485.08926,8.3439736,8.3560872,6.1492444,-4.8310668e+08
-484.08567,8.3877697,8.3451785,6.3340392,-4.8304603e+08
-483.08209,8.3280719,8.3834951,6.3631525,-4.8323712e+08
-482.0785,8.4042931,8.3811158,6.5584402,-4.8041106e+08
-481.07491,8.3987067,8.3811142,6.6049551,-4.8235938e+08
-480.07132,8.3597559,8.3471214,6.4395824,-4.8230088e+08
-479.06774,8.3904177,8.369525,6.4950964,-4.8074282e+08
-478.06415,8.3899036,8.4019996,6.4384873,-4.8169226e+08
-477.06056,8.3520386,8.3813163,6.3803549,-4.8115042e+08
-476.05698,8.3861197,8.3304296,6.3712375,-4.8035689e+08
-475.05339,8.4047007,8.3801818,6.3800647,-4.8296599e+08
-474.0498,8.3561446,8.4022544,6.3776478,-4.8107428e+08
-473.04621,8.3585913,8.3215708,6.4173549,-4.8238195e+08
-472.04263,8.3692032,8.335703,6.3215172,-4.8288772e+08
-471.03904,8.3668121,8.3578521,6.2683942,-4.8363678e+08
-470.03545,8.3808029,8.3931527,6.3253232,-4.8349534e+08
-469.03187,8.3781292,8.3932967,6.3517226,-4.83118e+08
-468.02828,8.3577336,8.3785457,6.4087097,-4.8360995e+08
-467.02469,8.3772638,8.3412391,6.3303952,-4.813725e+08
-466.0211,8.3884485,8.348198,6.4055949,-4.8322919e+08
-465.01752,8.3002177,8.376634,6.2456392,-4.8465425e+08
-464.01393,8.3579538,8.3665738,6.3853956,-4.843478e+08
-463.01034,8.3593649,8.2901851,6.2825655,-4.8182679e+08
-462.00675,8.3871459,8.3826653,6.4292003,-4.8252236e+08
-461.00317,8.4002274,8.4626307,6.4557253,-4.8101124e+08
-459.99958,8.3880352,8.3525034,6.4334054,-4.8340373e+08
-458.99599,8.3720179,8.3586104,6.4413037,-4.821288e+08
-457.99241,8.3776646,8.4069033,6.3689543,-4.8346418e+08
-456.98882,8.3835055,8.3745572,6.3568996,-4.816214e+08
-455.98523,8.3952135,8.408619,6.4308028,-4.8354598e+08
-454.98164,8.4008291,8.3983626,6.3787932,-4.8263425e+08
-453.97806,8.3690959,8.3489242,6.2405361,-4.8120695e+08
-452.97447,8.3763746,8.3576194,6.322593,-4.8105846e+08
-451.97088,8.3754865,8.3923026,6.2697331,-4.8209933e+08
-450.96729,8.3641572,8.3732399,6.2992333,-4.8255928e+08
-449.96371,8.3812313,8.4232342,6.2628496,-4.8129214e+08
