# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 1(c)
# Marshak wave material temperature at ct=500. DIMC panel; DIMC curve (cyan, N with most samples).

# x,T
2.5390208,0.0099836258
2.5490488,0.0099836258
2.5590768,0.0099836258
2.5691047,0.0099836258
2.5791327,0.0099836258
2.5891607,0.0099836258
2.5991886,0.0099836258
2.6092166,0.0099836258
2.6192446,0.0099836258
2.6292725,0.0099836258
2.6393005,0.0099836258
2.6493284,0.0099836258
2.6593564,0.0099836258
2.6693844,0.0099836258
2.6794123,0.0099836258
2.6894403,0.0099836258
2.6994683,0.0099836258
2.7094962,0.0099836258
2.7195242,0.0099836258
2.7295522,0.0099836258
2.7395801,0.0099836258
2.7496081,0.0099836258
2.7596361,0.0099836258
2.769664,0.0099836258
2.779692,0.0099836258
2.78972,0.0099836258
2.7997479,0.0099836258
2.8097759,0.0099836258
2.8198039,0.0099836258
2.8298318,0.0099836258
2.8398598,0.0099836258
2.8498877,0.0099836258
2.8599157,0.0099836258
2.8699437,0.0099836258
2.8799716,0.0099836258
2.8899996,0.0099836258
2.9000276,0.0099836258
2.9100555,0.0099836258
2.9200835,0.0099836258
2.9301115,0.0099836258
2.9401394,0.0099836258
2.9501674,0.0099836258
2.9601954,0.0099836258
2.9702233,0.0099836258
2.9802513,0.0099836258
2.9902793,0.0099836258
3.0003072,0.0099836258
