# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 1(c)
# Marshak wave material temperature at ct=500. DIMC panel; black is their diffusion solver.
# x(cm), T
# x,T
0.0019457244,0.9939883
0.011973689,0.99306001
0.022001654,0.99214119
0.032029619,0.9912129
0.042057584,0.9902846
0.052085549,0.98931433
0.062113514,0.98838603
0.072141478,0.98741538
0.082169443,0.986436
0.092197408,0.98545624
0.10222537,0.98450326
0.11225334,0.98350621
0.1222813,0.98253582
0.13230927,0.98155617
0.14233723,0.98052777
0.1523652,0.97955002
0.16239316,0.97852346
0.17242113,0.97751026
0.18244909,0.97651165
0.19247706,0.97545074
0.20250502,0.97444129
0.21253299,0.97339122
0.22256095,0.97233031
0.23258892,0.97127002
0.24261688,0.97021932
0.25264485,0.96915842
0.26267281,0.96810556
0.27270078,0.96699597
0.28272874,0.96593506
0.29275671,0.96483353
0.30278467,0.96372115
0.31281264,0.96260878
0.3228406,0.96150725
0.33286856,0.96039488
0.34289653,0.95923421
0.35292449,0.95812951
0.36295246,0.95694369
0.37298042,0.95581382
0.38300839,0.95464884
0.39303635,0.95347824
0.40306432,0.95229691
0.41309228,0.95110338
0.42312025,0.94991979
0.43314821,0.94872853
0.44317618,0.94748354
0.45320414,0.94630221
0.46323211,0.94505723
0.47326007,0.94381224
0.48328804,0.94257944
0.493316,0.94129352
0.50334397,0.94004244
0.51337193,0.93875771
0.5233999,0.93748304
0.53342786,0.93620938
0.54345583,0.93489577
0.55348379,0.93356964
0.56351176,0.93225705
0.57353972,0.93093091
0.58356769,0.92955331
0.59359565,0.92821707
0.60362362,0.92686125
0.61365158,0.92546286
0.62367955,0.92407001
0.63370751,0.92265428
0.64373548,0.92126189
0.65376344,0.91984783
0.66379141,0.91839585
0.67381937,0.916952
0.68384734,0.91549325
0.6938753,0.91399794
0.70390326,0.91253919
0.71393123,0.91102897
0.72395919,0.90953116
0.73398716,0.90800261
0.74401512,0.90646178
0.75404309,0.9048876
0.76407105,0.90329624
0.77409902,0.90171574
0.78412698,0.90012976
0.79415495,0.89849652
0.80418291,0.89688217
0.81421088,0.89522056
0.82423884,0.89357471
