# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 5(e)
# Cylindrical hohlraum material temperature along r=0.05 cm at t=10 ns.
# z(cm), T(keV)  DIMC
# z,T_keV
0.0049918187,0.0025643217
0.0084754833,0.0025643217
0.011959148,0.0025643217
0.015442812,0.0025643217
0.018926477,0.0025643217
0.022410142,0.0025643217
0.025893806,0.0025643217
0.029377471,0.0025643217
0.032861135,0.0025643217
0.0363448,0.0025643217
0.039828465,0.0025643217
0.043312129,0.0025643217
0.046795794,0.0025643217
0.050279458,0.0025643217
0.053763123,0.0025643217
0.057246788,0.0025643217
0.060730452,0.0025643217
0.064214117,0.0025643217
0.067697781,0.0025643217
0.071181446,0.0025643217
0.074665111,0.0025643217
0.078148775,0.0025643217
0.08163244,0.0025643217
0.085116104,0.0025643217
0.088599769,0.0025643217
0.092083434,0.0025643217
0.095567098,0.061512946
0.099050763,0.41208328
0.10253443,0.76265361
0.10601809,1.0076452
0.10950176,0.99725378
0.11298542,0.98686231
0.11646909,0.97833753
0.11995275,0.9723213
0.12343641,0.96630507
0.12692008,0.95996852
0.13040374,0.95337096
0.13388741,0.94677339
0.13737107,0.93715269
0.14085474,0.92614275
0.1443384,0.91513281
0.14782207,0.65586252
0.15130573,0.33816514
0.1547894,0.020467749
0.15827306,0.0025643217
0.16175673,0.0025643217
0.16524039,0.0025643217
0.16872405,0.0025643217
0.17220772,0.0025643217
0.17569138,0.0025643217
0.17917505,0.0025643217
0.18265871,0.0025643217
0.18614238,0.0025643217
0.18962604,0.0025643217
0.19310971,0.0025643217
0.19659337,0.0025643217
0.20007704,0.0025643217
0.2035607,0.0025643217
0.20704437,0.0025643217
0.21052803,0.0025643217
0.21401169,0.0025643217
0.21749536,0.0025643217
0.22097902,0.0025643217
0.22446269,0.0025643217
0.22794635,0.0025643217
0.23143002,0.0025643217
0.23491368,0.0025643217
0.23839735,0.0025643217
0.24188101,0.0025643217
0.24536468,0.0025643217
0.24884834,0.0025643217
0.252332,0.0025643217
0.25581567,0.0025643217
0.25929933,0.0025643217
0.262783,0.0025643217
0.26626666,0.0025643217
0.26975033,0.0025643217
0.27323399,0.0025643217
0.27671766,0.0025643217
0.28020132,0.0025643217
0.28368499,0.0025643217
0.28716865,0.0025643217
0.29065232,0.0025643217
0.29413598,0.0025643217
0.29761964,0.0025643217
0.30110331,0.0025643217
0.30458697,0.0025643217
0.30807064,0.0025643217
0.3115543,0.0025643217
0.31503797,0.0025643217
0.31852163,0.0025643217
0.3220053,0.0025643217
0.32548896,0.0025643217
0.32897263,0.0025643217
0.33245629,0.0025643217
0.33593995,0.0025643217
0.33942362,0.0025643217
0.34290728,0.0025643217
0.34639095,0.0025643217
0.34987461,0.0025643217
0.35335828,0.0025643217
0.35684194,0.0025643217
0.36032561,0.0025643217
0.36380927,0.0025643217
0.36729294,0.0025643217
0.3707766,0.0025643217
0.37426027,0.0025643217
0.37774393,0.0025643217
0.38122759,0.0025643217
0.38471126,0.0025643217
0.38819492,0.0025643217
0.39167859,0.0025643217
0.39516225,0.0025643217
0.39864592,0.0025643217
0.40212958,0.0025643217
0.40561325,0.0025643217
0.40909691,0.0025643217
0.41258058,0.0025643217
0.41606424,0.0025643217
0.41954791,0.0025643217
0.42303157,0.0025643217
0.42651523,0.0025643217
0.4299989,0.0025643217
0.43348256,0.0025643217
0.43696623,0.0025643217
0.44044989,0.0025643217
0.44393356,0.0025643217
0.44741722,0.0025643217
0.45090089,0.0025643217
0.45438455,0.0025643217
0.45786822,0.0025643217
0.46135188,0.0025643217
0.46483554,0.0025643217
0.46831921,0.0025643217
0.47180287,0.0025643217
0.47528654,0.0025643217
