# time = 2.000000000000e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-1.369922472640e-02 1.993078230374e-02 1.131680254352e+06 1.134467360427e+06 -9.487763731685e+06 2.815557924716e+11 1.807389608246e-04
-1.279593411986e-02 2.234453802999e-02 1.128217416228e+06 1.130927614148e+06 -8.996330583938e+06 3.091230674667e+11 2.000899097722e-04
-1.196717290044e-02 2.485639862243e-02 1.124566541823e+06 1.127210019153e+06 -8.543950780078e+06 3.370300753947e+11 2.199036244515e-04
-1.120167945890e-02 2.747002723805e-02 1.120725017846e+06 1.123310629807e+06 -8.124642641148e+06 3.652858692731e+11 2.401816858960e-04
-1.049079566435e-02 3.018913422028e-02 1.116689863696e+06 1.119224039290e+06 -7.733813511284e+06 3.938938794814e+11 2.609216294838e-04
-9.827678903830e-03 3.301745504419e-02 1.112457684494e+06 1.114948239896e+06 -7.367825719346e+06 4.228522447470e+11 2.821197791886e-04
-9.206738508738e-03 3.595905094752e-02 1.108024359468e+06 1.110475195400e+06 -7.023694892503e+06 4.521572630900e+11 3.037744197786e-04
-8.623273335866e-03 3.901882777507e-02 1.103384543037e+06 1.105802983676e+06 -6.698909810744e+06 4.818084458542e+11 3.258879607271e-04
-8.073257970777e-03 4.220292216662e-02 1.098531137086e+06 1.100919186264e+06 -6.391320965244e+06 5.118113488533e+11 3.484676550186e-04
-7.553219740887e-03 4.551870550469e-02 1.093455041154e+06 1.095819608665e+06 -6.099059839547e+06 5.421760812513e+11 3.715250682501e-04
-7.060161795225e-03 4.897461481153e-02 1.088145326070e+06 1.090487864414e+06 -5.820488307166e+06 5.729143158618e+11 3.950748411443e-04
-6.591506290567e-03 5.258023286608e-02 1.082589558370e+06 1.084916406015e+06 -5.554182898580e+06 6.040390791842e+11 4.191333551370e-04
-6.145045498424e-03 5.634667868381e-02 1.076773908877e+06 1.079086068348e+06 -5.298933019206e+06 6.355672973515e+11 4.437177178813e-04
-5.718895399612e-03 6.028692755728e-02 1.070682966644e+06 1.072985868939e+06 -5.053721847378e+06 6.675209304992e+11 4.688451797733e-04
-5.311449795007e-03 6.441574050207e-02 1.064299483408e+06 1.066594260357e+06 -4.817681601793e+06 6.999239159616e+11 4.945328753862e-04
-4.921335815177e-03 6.874932533340e-02 1.057604238459e+06 1.059896424878e+06 -4.590042472414e+06 7.327966902753e+11 5.207977318955e-04
-4.547373743877e-03 7.330517017244e-02 1.050576040071e+06 1.052867881477e+06 -4.370100056416e+06 7.661526293737e+11 5.476564287095e-04
-4.188544478610e-03 7.810243845799e-02 1.043191707197e+06 1.045488988609e+06 -4.157211527017e+06 7.999994711098e+11 5.751253451755e-04
-3.843966346916e-03 8.316295029156e-02 1.035425844138e+06 1.037731227839e+06 -3.950809953505e+06 8.343449715214e+11 6.032204874718e-04
-3.512879601455e-03 8.851234536713e-02 1.027250313920e+06 1.029569460101e+06 -3.750413562412e+06 8.692023866339e+11 6.319574605320e-04
-3.194633805992e-03 9.418093266753e-02 1.018633503256e+06 1.020969075145e+06 -3.555613392897e+06 9.045913835670e+11 6.613516381218e-04
-2.888673050145e-03 1.002041292537e-01 1.009539556977e+06 1.011898165811e+06 -3.366044209252e+06 9.405340545656e+11 6.914183129617e-04
-2.594525306196e-03 1.066236048966e-01 9.999267780469e+05 1.002311829987e+06 -3.181340821694e+06 9.770539783657e+11 7.221786963113e-04
-2.311682929065e-03 1.134892184351e-01 9.897459707514e+05 9.921656739395e+05 -3.001121804188e+06 1.014178726106e+12 7.536584905446e-04
-2.039762577765e-03 1.208602412906e-01 9.789406514414e+05 9.813994630933e+05 -2.825029199126e+06 1.051936446522e+12 7.858788797567e-04
-1.778498668170e-03 1.288067602359e-01 9.674466143499e+05 9.699548120437e+05 -2.652737931666e+06 1.090350199975e+12 8.188578142187e-04
-1.527694198719e-03 1.374130169743e-01 9.551899367751e+05 9.577542421988e+05 -2.483930572100e+06 1.129439836885e+12 8.526125082395e-04
-1.287210509828e-03 1.467845822128e-01 9.420843892568e+05 9.447171229475e+05 -2.318329267994e+06 1.169242032460e+12 8.871603563091e-04
-1.056965631062e-03 1.570570071762e-01 9.280254946618e+05 9.307365414496e+05 -2.155698007493e+06 1.209819813262e+12 9.225198327581e-04
-8.369348158650e-04 1.683988903527e-01 9.128848341439e+05 9.156929596580e+05 -1.995698769668e+06 1.251217671079e+12 9.587100726266e-04
-6.271499738120e-04 1.810269116893e-01 8.965101669697e+05 8.994308303225e+05 -1.837950731767e+06 1.293489778216e+12 9.957501625805e-04
-4.277128984363e-04 1.952503547325e-01 8.787104383888e+05 8.817628002158e+05 -1.682341661881e+06 1.336834915637e+12 1.033662168215e-03
-2.388074718300e-04 2.114728555194e-01 8.592182360040e+05 8.624399913885e+05 -1.528392919739e+06 1.381338469770e+12 1.072473065950e-03
-6.065966468176e-05 2.301810212481e-01 8.376996412694e+05 8.411440546826e+05 -1.374499126577e+06 1.426713123159e+12 1.112208781930e-03
1.064487596763e-04 2.522326011493e-01 8.137718346820e+05 8.174472737356e+05 -1.220527982521e+06 1.473563457969e+12 1.152903726790e-03
2.620182498642e-04 2.791317136261e-01 7.867751713667e+05 7.907156485011e+05 -1.068992710831e+06 1.523254529909e+12 1.194625870378e-03
4.053910980141e-04 3.128435450516e-01 7.555070225031e+05 7.599660989015e+05 -9.144065750127e+05 1.574630094859e+12 1.237427049265e-03
5.356449847881e-04 3.567295536643e-01 7.186489343785e+05 7.237577880644e+05 -7.427955146469e+05 1.627249037403e+12 1.281315226008e-03
6.514496389581e-04 4.135272255492e-01 6.742064553286e+05 6.796615552604e+05 -5.801776969294e+05 1.668313756554e+12 1.326282458347e-03
7.531263478536e-04 5.027812298011e-01 6.150410290936e+05 6.226300409997e+05 -4.080009660559e+05 1.703915593541e+12 1.370435006676e-03
8.270828794701e-04 1.117098173964e+00 4.507659343698e+05 4.841298787421e+05 2.748416691881e+04 2.059187259412e+12 1.427219454273e-03
8.547905505533e-04 6.573553834662e+00 1.705631284258e+05 1.767919898092e+05 3.004938176552e+05 1.996824909491e+12 1.533651036926e-03
8.594646277085e-04 2.725182354526e+01 7.959767027484e+04 7.964380080970e+04 3.207192069009e+05 2.003993494511e+12 1.616965176884e-03
