# xi rho_shape velocity_shape temperature_shape; duplicate xi=1 preserves shock
0.00000000000000000e+00 5.95693645215589096e-01 0.00000000000000000e+00 1.13271516334479141e-01
2.00000000000000004e-02 5.95693645215589096e-01 1.41260429053670332e-02 1.13271516334479141e-01
2.00326267754663626e-02 5.95695429994859915e-01 1.41488509297623653e-02 1.13271516047892540e-01
2.00653067762565779e-02 5.95697220651336123e-01 1.41716969895617408e-02 1.13271515760408059e-01
2.00980400891992046e-02 5.95699017203619841e-01 1.41945811444049007e-02 1.13271515472011183e-01
2.01308268012644065e-02 5.95700819663960490e-01 1.42175034540378987e-02 1.13271515182630900e-01
2.01636669995642580e-02 5.95702628042662941e-01 1.42404639783134512e-02 1.13271514892179917e-01
2.01965607713529074e-02 5.95704442352645192e-01 1.42634627771911805e-02 1.13271514600597492e-01
2.02295082040268893e-02 5.95706262614118631e-01 1.42864999107379445e-02 1.13271514307891022e-01
2.02625093851252630e-02 5.95708088859418727e-01 1.43095754391280774e-02 1.13271514014179842e-01
2.02955644023299353e-02 5.95709921129074504e-01 1.43326894226434715e-02 1.13271513719659198e-01
2.03286733434658307e-02 5.95711759433585009e-01 1.43558419216725346e-02 1.13271513424248044e-01
2.03618362965011304e-02 5.95713603795131830e-01 1.43790329967115275e-02 1.13271513127957649e-01
2.03950533495475678e-02 5.95715454229574726e-01 1.44022627083643072e-02 1.13271512830740800e-01
2.04283245908605630e-02 5.95717310746650353e-01 1.44255311173424380e-02 1.13271512532496468e-01
2.04616501088395568e-02 5.95719173354395393e-01 1.44488382844655226e-02 1.13271512233111063e-01
2.04950299920281624e-02 5.95721042063702022e-01 1.44721842706614558e-02 1.13271511932499888e-01
2.05284643291144750e-02 5.95722916893014820e-01 1.44955691369667451e-02 1.13271511630649885e-01
2.05619532089312343e-02 5.95724797873167566e-01 1.45189929445267655e-02 1.13271511327663069e-01
2.05954967204561024e-02 5.95726685052358929e-01 1.45424557545960620e-02 1.13271511023800314e-01
2.06290949528119272e-02 5.95728578463365577e-01 1.45659576285375875e-02 1.13271510719180291e-01
2.06627479952668953e-02 5.95730478108680850e-01 1.45894986278222796e-02 1.13271510413634077e-01
2.06964559372348721e-02 5.95732384010803639e-01 1.46130788140308252e-02 1.13271510107168669e-01
2.07302188682755434e-02 5.95734296183510592e-01 1.46366982488529262e-02 1.13271509799712608e-01
2.07640368780947285e-02 5.95736214636041317e-01 1.46603569940876501e-02 1.13271509491155498e-01
2.07979100565445565e-02 5.95738139377568920e-01 1.46840551116436731e-02 1.13271509181389007e-01
2.08318384936237791e-02 5.95740070421809209e-01 1.47077926635396112e-02 1.13271508870349383e-01
2.08658222794779261e-02 5.95742007791766892e-01 1.47315697119042473e-02 1.13271508558060188e-01
2.08998615043995903e-02 5.95743951524621562e-01 1.47553863189768663e-02 1.13271508244675703e-01
2.09339562588286912e-02 5.95745901673482070e-01 1.47792425471074598e-02 1.13271507930495119e-01
2.09681066333526518e-02 5.95747858249047857e-01 1.48031384587551749e-02 1.13271507615427397e-01
2.10023127187067039e-02 5.95749821267091528e-01 1.48270741164898221e-02 1.13271507299414181e-01
2.10365746057740721e-02 5.95751790747215959e-01 1.48510495829920191e-02 1.13271506982430353e-01
2.10708923855862651e-02 5.95753766701703324e-01 1.48750649210530883e-02 1.13271506664385541e-01
2.11052661493232735e-02 5.95755749139901813e-01 1.48991201935753277e-02 1.13271506345164960e-01
2.11396959883138613e-02 5.95757738072750231e-01 1.49232154635723108e-02 1.13271506024671703e-01
2.11741819940357498e-02 5.95759733517427614e-01 1.49473507941691470e-02 1.13271505702868258e-01
2.12087242581159019e-02 5.95761735502160272e-01 1.49715262486027883e-02 1.13271505379820461e-01
2.12433228723307756e-02 5.95763744071147627e-01 1.49957418902223333e-02 1.13271505055740324e-01
2.12779779286065111e-02 5.95765759272086637e-01 1.50199977824887979e-02 1.13271504730871414e-01
2.13126895190192504e-02 5.95767781105862038e-01 1.50442939889739048e-02 1.13271504405021983e-01
2.13474577357953034e-02 5.95769809595785294e-01 1.50686305733620952e-02 1.13271504078194335e-01
2.13822826713114741e-02 5.95771844758990476e-01 1.50930075994500246e-02 1.13271503750335054e-01
2.14171644180952310e-02 5.95773886606860703e-01 1.51174251311466928e-02 1.13271503421339861e-01
2.14521030688249841e-02 5.95775935149470803e-01 1.51418832324737487e-02 1.13271503091095682e-01
2.14870987163303731e-02 5.95777990400150892e-01 1.51663819675658101e-02 1.13271502759521872e-01
2.15221514535924204e-02 5.95780052380198710e-01 1.51909214006706785e-02 1.13271502426613352e-01
2.15572613737438877e-02 5.95782121123721753e-01 1.52155015961497123e-02 1.13271502092483406e-01
2.15924285700694156e-02 5.95784196682618505e-01 1.52401226184780293e-02 1.13271501757407994e-01
2.16276531360058699e-02 5.95786279085698478e-01 1.52647845322436606e-02 1.13271501421450843e-01
2.16629351651424981e-02 5.95788368340618990e-01 1.52894874021476321e-02 1.13271501084469900e-01
2.16982747512212693e-02 5.95790464471137593e-01 1.53142312930052392e-02 1.13271500746465123e-01
2.17336719881370440e-02 5.95792567492501202e-01 1.53390162697455406e-02 1.13271500407359615e-01
2.17691269699378555e-02 5.95794677415802165e-01 1.53638423974116773e-02 1.13271500067041148e-01
2.18046397908251977e-02 5.95796794252460016e-01 1.53887097411611710e-02 1.13271499725403485e-01
2.18402105451541914e-02 5.95798918018835999e-01 1.54136183662661550e-02 1.13271499382387994e-01
