# Digitized from Steinberg & Heizler 2022 Fig. 9(a) DIMC (green)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-0.1722551,0.15395321,0.18550555,1.0510668,-1608255.9
-0.17213133,0.15546103,0.18771073,1.0537807,-1689037
-0.17200756,0.15697531,0.18990906,1.0565255,-1770565.9
-0.17188378,0.15853439,0.19205992,1.0594841,-1857277.8
-0.17176001,0.16010144,0.19420022,1.062477,-1944480.4
-0.17163623,0.16170481,0.19629224,1.0656263,-2033926.2
-0.17151246,0.1633239,0.19825185,1.0687946,-2124859
-0.17138869,0.16499134,0.19980404,1.0720218,-2220367.1
-0.17126491,0.16667228,0.20171708,1.0753494,-2316789.1
-0.17114114,0.16838141,0.20438518,1.0788873,-2415123.1
-0.17101737,0.17011284,0.20672227,1.0825072,-2516022.1
-0.17089359,0.17187589,0.20859041,1.0862432,-2620554.9
-0.17076982,0.17370067,0.2108598,1.090455,-2733739
-0.17064604,0.17558324,0.21350483,1.095112,-2855021.9
-0.17052227,0.17770836,0.21583807,1.1018697,-3015020.4
-0.1703985,0.17997128,0.21799418,1.1098211,-3197015.2
-0.17027472,0.18354662,0.22025832,1.1294413,-3594720.3
-0.17015095,0.18751129,0.2225545,1.1525233,-4056417.1
-0.17002717,0.1987069,0.22453198,1.2343969,-5587635.6
-0.1699034,0.21378042,0.22660167,1.352753,-7657133.4
-0.16977963,0.23875793,0.22898366,1.5657302,-11091072
-0.16965585,0.25514883,0.23135342,1.7252045,-13433459
-0.16953208,0.2635032,0.23249328,1.8162741,-14711842
-0.1694083,0.26626506,0.23342293,1.854898,-15212528
-0.16928453,0.26702719,0.23442485,1.8735564,-15398992
-0.16916076,0.26717775,0.23468714,1.8856657,-15496228
-0.16903698,0.26697166,0.2358824,1.8937591,-15594167
-0.16891321,0.26672094,0.23750558,1.9014862,-15680610
-0.16878944,0.26655686,0.2375676,1.9099137,-15754896
-0.16866566,0.26643285,0.23944144,1.9186969,-15817887
-0.16854189,0.26627661,0.23918768,1.926803,-15882720
-0.16841811,0.2660575,0.24008525,1.9341847,-15954846
-0.16829434,0.26582331,0.24079421,1.9411278,-16026519
-0.16817057,0.2656268,0.24027926,1.9484311,-16091067
-0.16804679,0.26547311,0.24244922,1.9558963,-16149078
-0.16792302,0.26531973,0.24223659,1.9630983,-16205161
-0.16779924,0.26512163,0.24145467,1.9698638,-16264895
-0.16767547,0.26491332,0.24189056,1.9762934,-16325601
-0.1675517,0.26472471,0.24277196,1.9827459,-16382566
