# Digitized from Steinberg & Heizler 2022 Fig. 9(a) analytic (magenta)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-0.17237888,0.14591454,0.17894473,1.0003157,-1582889.8
-0.1722551,0.14748088,0.18090366,1.00317,-1671822.7
-0.17213133,0.14904722,0.18286259,1.0060242,-1760755.6
-0.17200756,0.15065273,0.18474945,1.009031,-1853846
-0.17188378,0.15227662,0.18660249,1.0121094,-1948888.6
-0.17176001,0.15390051,0.18845552,1.0151879,-2043931.1
-0.17163623,0.15552979,0.19029032,1.0183035,-2139639.6
-0.17151246,0.15718939,0.1920225,1.0216286,-2239097.5
-0.17138869,0.15884898,0.19375468,1.0249536,-2338555.4
-0.17126491,0.16050857,0.19548685,1.0282787,-2438013.3
-0.17114114,0.1621718,0.19714077,1.0317216,-2539561.2
-0.17101737,0.16383782,0.1987346,1.035255,-2642713.7
-0.17089359,0.16550384,0.20032843,1.0387884,-2745866.2
-0.17076982,0.16716985,0.20192226,1.0423218,-2849018.7
-0.17064604,0.16882268,0.2034004,1.0460066,-2954935.2
-0.17052227,0.17047343,0.20486025,1.0497154,-3061288.4
-0.1703985,0.17212418,0.20632011,1.0534241,-3167641.6
-0.17027472,0.17377493,0.20777997,1.0571328,-3273994.8
-0.17015095,0.17539251,0.20909365,1.0610011,-3381815.3
-0.17002717,0.17700992,0.21040662,1.0648702,-3489643.2
-0.1699034,0.17862734,0.21171958,1.0687394,-3597471
-0.16977963,0.18022071,0.21296389,1.0727122,-3706033.1
-0.16965585,0.18180215,0.21417418,1.0767364,-3814959.2
-0.16953208,0.1833836,0.21538447,1.0807606,-3923885.2
-0.1694083,0.18995482,0.21657922,1.1282675,-4774823.9
-0.16928453,0.21893746,0.21770422,1.371075,-8958481.4
-0.16916076,0.25587456,0.2183036,1.7011468,-14541686
-0.16903698,0.25579049,0.21885412,1.7110316,-14648264
-0.16891321,0.25569982,0.21939919,1.720822,-14753311
-0.16878944,0.25558316,0.21992289,1.7302411,-14852342
-0.16866566,0.25546651,0.22044658,1.7396602,-14951372
-0.16854189,0.25533929,0.22095878,1.7489328,-15047780
-0.16841811,0.25519403,0.22145133,1.7579553,-15139707
-0.16829434,0.25504876,0.22194387,1.7669777,-15231634
-0.16817057,0.25489699,0.22242828,1.7758883,-15321646
-0.16804679,0.2547277,0.22289074,1.7844975,-15406500
-0.16792302,0.2545584,0.2233532,1.7931068,-15491353
-0.16779924,0.25438911,0.22381567,1.801716,-15576207
-0.16767547,0.25420864,0.22425246,1.8099714,-15655640
-0.1675517,0.25402643,0.22468523,1.8181712,-15734222
-0.16742792,0.25383964,0.22510964,1.8262473,-15810715
-0.16730415,0.25364581,0.22552118,1.834133,-15883996
-0.16718038,0.25345199,0.22593273,1.8420187,-15957278
-0.1670566,0.25325591,0.2263273,1.8496389,-16027658
-0.16693283,0.25305906,0.22671607,1.8571682,-16097046
-0.16680905,0.25286222,0.22710484,1.8646976,-16166434
-0.16668528,0.25265878,0.22747291,1.8718903,-16231051
-0.16656151,0.2524545,0.22783835,1.8790402,-16295059
-0.16643773,0.25225021,0.22820379,1.88619,-16359067
-0.16631396,0.25204602,0.22854885,1.8930741,-16419423
-0.16619018,0.25184184,0.22888844,1.8998868,-16478800
-0.16606641,0.25163767,0.22922804,1.9066995,-16538177
-0.16594264,0.25143418,0.2295583,1.9133533,-16595578
-0.16581886,0.25123167,0.22987527,1.9197809,-16650169
-0.16569509,0.25102918,0.23019197,1.9262038,-16704717
-0.16557131,0.25082835,0.23049184,1.9323526,-16756712
-0.16544754,0.25062752,0.23079171,1.9385013,-16808708
